gene_ncbi,set,type
904,genome,gwas
905,genome,gwas
100303755,genome,gwas
908,genome,gwas
909,genome,gwas
910,genome,gwas
911,genome,gwas
912,genome,gwas
913,genome,gwas
914,genome,gwas
915,genome,gwas
916,genome,gwas
917,genome,gwas
919,genome,gwas
920,genome,gwas
921,genome,gwas
922,genome,gwas
923,genome,gwas
924,genome,gwas
925,genome,gwas
926,genome,gwas
927,genome,gwas
928,genome,gwas
929,genome,gwas
930,genome,gwas
931,genome,gwas
932,genome,gwas
933,genome,gwas
132001,genome,gwas
254187,genome,gwas
939,genome,gwas
940,genome,gwas
941,genome,gwas
942,genome,gwas
943,genome,gwas
944,genome,gwas
945,genome,gwas
946,genome,gwas
947,genome,gwas
948,genome,gwas
949,genome,gwas
950,genome,gwas
951,genome,gwas
952,genome,gwas
953,genome,gwas
954,genome,gwas
955,genome,gwas
956,genome,gwas
957,genome,gwas
958,genome,gwas
959,genome,gwas
960,genome,gwas
961,genome,gwas
962,genome,gwas
963,genome,gwas
100533181,genome,gwas
965,genome,gwas
966,genome,gwas
967,genome,gwas
968,genome,gwas
969,genome,gwas
970,genome,gwas
971,genome,gwas
972,genome,gwas
973,genome,gwas
974,genome,gwas
975,genome,gwas
976,genome,gwas
977,genome,gwas
978,genome,gwas
983,genome,gwas
984,genome,gwas
987,genome,gwas
988,genome,gwas
989,genome,gwas
990,genome,gwas
991,genome,gwas
164832,genome,gwas
993,genome,gwas
994,genome,gwas
995,genome,gwas
996,genome,gwas
997,genome,gwas
998,genome,gwas
999,genome,gwas
1000,genome,gwas
1001,genome,gwas
1002,genome,gwas
1003,genome,gwas
1004,genome,gwas
1005,genome,gwas
1006,genome,gwas
1007,genome,gwas
1008,genome,gwas
1009,genome,gwas
1010,genome,gwas
1012,genome,gwas
1013,genome,gwas
1014,genome,gwas
1015,genome,gwas
1016,genome,gwas
1017,genome,gwas
1018,genome,gwas
1019,genome,gwas
1020,genome,gwas
1021,genome,gwas
1022,genome,gwas
149998,genome,gwas
1024,genome,gwas
1025,genome,gwas
1026,genome,gwas
1027,genome,gwas
1028,genome,gwas
1029,genome,gwas
1030,genome,gwas
1031,genome,gwas
1032,genome,gwas
1033,genome,gwas
1036,genome,gwas
1039,genome,gwas
1040,genome,gwas
1041,genome,gwas
132112,genome,gwas
1043,genome,gwas
1044,genome,gwas
1045,genome,gwas
1046,genome,gwas
1047,genome,gwas
1048,genome,gwas
394263,genome,gwas
1050,genome,gwas
1051,genome,gwas
1052,genome,gwas
1053,genome,gwas
1054,genome,gwas
1056,genome,gwas
1058,genome,gwas
1059,genome,gwas
1060,genome,gwas
1062,genome,gwas
1063,genome,gwas
1066,genome,gwas
1068,genome,gwas
1069,genome,gwas
1070,genome,gwas
1071,genome,gwas
1072,genome,gwas
1073,genome,gwas
132141,genome,gwas
1075,genome,gwas
100526739,genome,gwas
1080,genome,gwas
1081,genome,gwas
1082,genome,gwas
100526740,genome,gwas
1084,genome,gwas
132158,genome,gwas
1087,genome,gwas
1088,genome,gwas
1089,genome,gwas
132160,genome,gwas
100507203,genome,gwas
644994,genome,gwas
1101,genome,gwas
1102,genome,gwas
1103,genome,gwas
1104,genome,gwas
1105,genome,gwas
1106,genome,gwas
1107,genome,gwas
1108,genome,gwas
1109,genome,gwas
136991,genome,gwas
1111,genome,gwas
1112,genome,gwas
1113,genome,gwas
1114,genome,gwas
1116,genome,gwas
1117,genome,gwas
1118,genome,gwas
1119,genome,gwas
1120,genome,gwas
1121,genome,gwas
254225,genome,gwas
1123,genome,gwas
221662,genome,gwas
1128,genome,gwas
1129,genome,gwas
1130,genome,gwas
1131,genome,gwas
1132,genome,gwas
1133,genome,gwas
1134,genome,gwas
1135,genome,gwas
1136,genome,gwas
1137,genome,gwas
1138,genome,gwas
1139,genome,gwas
1140,genome,gwas
1141,genome,gwas
1142,genome,gwas
1143,genome,gwas
1144,genome,gwas
1145,genome,gwas
1146,genome,gwas
1147,genome,gwas
1149,genome,gwas
1152,genome,gwas
1153,genome,gwas
1154,genome,gwas
1155,genome,gwas
132228,genome,gwas
1158,genome,gwas
1159,genome,gwas
1160,genome,gwas
1161,genome,gwas
1163,genome,gwas
1164,genome,gwas
132243,genome,gwas
1173,genome,gwas
1174,genome,gwas
1175,genome,gwas
1176,genome,gwas
1178,genome,gwas
1179,genome,gwas
1180,genome,gwas
1181,genome,gwas
1182,genome,gwas
1183,genome,gwas
1184,genome,gwas
1185,genome,gwas
1186,genome,gwas
1187,genome,gwas
1188,genome,gwas
1191,genome,gwas
1192,genome,gwas
1193,genome,gwas
254240,genome,gwas
1195,genome,gwas
1196,genome,gwas
1198,genome,gwas
1200,genome,gwas
1203,genome,gwas
1207,genome,gwas
1208,genome,gwas
1209,genome,gwas
1211,genome,gwas
1212,genome,gwas
1213,genome,gwas
1215,genome,gwas
165055,genome,gwas
100129480,genome,gwas
132299,genome,gwas
1230,genome,gwas
1232,genome,gwas
1233,genome,gwas
1234,genome,gwas
1235,genome,gwas
1236,genome,gwas
1237,genome,gwas
1238,genome,gwas
1240,genome,gwas
1241,genome,gwas
165082,genome,gwas
100533467,genome,gwas
1244,genome,gwas
132320,genome,gwas
132321,genome,gwas
254251,genome,gwas
1258,genome,gwas
1259,genome,gwas
1260,genome,gwas
1261,genome,gwas
1262,genome,gwas
1263,genome,gwas
1264,genome,gwas
1265,genome,gwas
1266,genome,gwas
1267,genome,gwas
1268,genome,gwas
1269,genome,gwas
1270,genome,gwas
1271,genome,gwas
1272,genome,gwas
100533496,genome,gwas
1277,genome,gwas
1278,genome,gwas
1280,genome,gwas
1281,genome,gwas
1282,genome,gwas
1284,genome,gwas
1285,genome,gwas
1286,genome,gwas
1287,genome,gwas
1288,genome,gwas
1289,genome,gwas
1290,genome,gwas
1291,genome,gwas
1292,genome,gwas
1293,genome,gwas
1294,genome,gwas
1295,genome,gwas
1296,genome,gwas
1297,genome,gwas
1298,genome,gwas
1299,genome,gwas
1300,genome,gwas
1301,genome,gwas
1302,genome,gwas
1303,genome,gwas
163081,genome,gwas
1305,genome,gwas
1306,genome,gwas
1307,genome,gwas
1308,genome,gwas
165140,genome,gwas
1310,genome,gwas
1311,genome,gwas
1312,genome,gwas
254263,genome,gwas
1314,genome,gwas
1315,genome,gwas
1316,genome,gwas
1317,genome,gwas
1318,genome,gwas
346525,genome,gwas
122455338,genome,gwas
122455339,genome,gwas
122455340,genome,gwas
1325,genome,gwas
1326,genome,gwas
1327,genome,gwas
122455342,genome,gwas
1329,genome,gwas
254268,genome,gwas
1337,genome,gwas
1339,genome,gwas
1340,genome,gwas
1345,genome,gwas
1346,genome,gwas
1347,genome,gwas
165186,genome,gwas
1349,genome,gwas
1350,genome,gwas
1351,genome,gwas
1352,genome,gwas
1353,genome,gwas
255349,genome,gwas
1355,genome,gwas
1356,genome,gwas
1357,genome,gwas
1358,genome,gwas
1359,genome,gwas
1360,genome,gwas
1361,genome,gwas
1362,genome,gwas
1363,genome,gwas
1364,genome,gwas
1365,genome,gwas
1366,genome,gwas
132430,genome,gwas
1368,genome,gwas
1369,genome,gwas
1370,genome,gwas
1371,genome,gwas
1373,genome,gwas
1374,genome,gwas
1375,genome,gwas
1376,genome,gwas
165215,genome,gwas
1378,genome,gwas
1379,genome,gwas
1380,genome,gwas
1381,genome,gwas
1382,genome,gwas
645051,genome,gwas
1384,genome,gwas
1385,genome,gwas
1386,genome,gwas
1387,genome,gwas
1388,genome,gwas
1389,genome,gwas
1390,genome,gwas
1392,genome,gwas
1393,genome,gwas
1394,genome,gwas
1395,genome,gwas
1396,genome,gwas
1397,genome,gwas
1398,genome,gwas
1399,genome,gwas
1400,genome,gwas
1401,genome,gwas
1404,genome,gwas
1406,genome,gwas
1407,genome,gwas
1408,genome,gwas
1409,genome,gwas
1410,genome,gwas
1411,genome,gwas
1412,genome,gwas
1413,genome,gwas
1414,genome,gwas
1415,genome,gwas
100129520,genome,gwas
1417,genome,gwas
1418,genome,gwas
1419,genome,gwas
1420,genome,gwas
1421,genome,gwas
165257,genome,gwas
1427,genome,gwas
1428,genome,gwas
1429,genome,gwas
1431,genome,gwas
1432,genome,gwas
1434,genome,gwas
1435,genome,gwas
1436,genome,gwas
1437,genome,gwas
1438,genome,gwas
1439,genome,gwas
1440,genome,gwas
1441,genome,gwas
1442,genome,gwas
1443,genome,gwas
1444,genome,gwas
1445,genome,gwas
1446,genome,gwas
1447,genome,gwas
1448,genome,gwas
117285,genome,gwas
1452,genome,gwas
1453,genome,gwas
1454,genome,gwas
1455,genome,gwas
1456,genome,gwas
1457,genome,gwas
1459,genome,gwas
1460,genome,gwas
1462,genome,gwas
1463,genome,gwas
1464,genome,gwas
1465,genome,gwas
1466,genome,gwas
1468,genome,gwas
1469,genome,gwas
1470,genome,gwas
1471,genome,gwas
1472,genome,gwas
1473,genome,gwas
1474,genome,gwas
1475,genome,gwas
1476,genome,gwas
1477,genome,gwas
1478,genome,gwas
1479,genome,gwas
404093,genome,gwas
1482,genome,gwas
100500938,genome,gwas
165324,genome,gwas
1485,genome,gwas
1486,genome,gwas
1487,genome,gwas
1488,genome,gwas
1489,genome,gwas
1490,genome,gwas
1491,genome,gwas
645073,genome,gwas
1493,genome,gwas
1495,genome,gwas
1496,genome,gwas
1497,genome,gwas
1499,genome,gwas
1500,genome,gwas
1501,genome,gwas
1503,genome,gwas
1504,genome,gwas
1506,genome,gwas
1508,genome,gwas
1509,genome,gwas
1510,genome,gwas
1511,genome,gwas
1512,genome,gwas
1513,genome,gwas
1514,genome,gwas
1515,genome,gwas
124045,genome,gwas
100861412,genome,gwas
1519,genome,gwas
1520,genome,gwas
1521,genome,gwas
1522,genome,gwas
1523,genome,gwas
1524,genome,gwas
1525,genome,gwas
1527,genome,gwas
1528,genome,gwas
100129543,genome,gwas
1534,genome,gwas
1535,genome,gwas
1536,genome,gwas
1537,genome,gwas
1538,genome,gwas
1539,genome,gwas
1540,genome,gwas
132612,genome,gwas
221491,genome,gwas
1543,genome,gwas
1544,genome,gwas
1545,genome,gwas
1548,genome,gwas
1549,genome,gwas
1551,genome,gwas
1553,genome,gwas
132625,genome,gwas
1555,genome,gwas
1557,genome,gwas
1558,genome,gwas
1559,genome,gwas
1562,genome,gwas
1565,genome,gwas
1571,genome,gwas
1572,genome,gwas
1573,genome,gwas
1576,genome,gwas
1577,genome,gwas
1579,genome,gwas
1580,genome,gwas
1581,genome,gwas
1582,genome,gwas
1583,genome,gwas
1584,genome,gwas
1585,genome,gwas
1586,genome,gwas
1588,genome,gwas
1589,genome,gwas
132660,genome,gwas
1591,genome,gwas
1592,genome,gwas
1593,genome,gwas
1594,genome,gwas
1595,genome,gwas
255308,genome,gwas
132671,genome,gwas
1600,genome,gwas
1601,genome,gwas
1602,genome,gwas
1603,genome,gwas
1604,genome,gwas
1605,genome,gwas
1606,genome,gwas
1607,genome,gwas
1608,genome,gwas
1609,genome,gwas
1610,genome,gwas
1611,genome,gwas
1612,genome,gwas
1613,genome,gwas
286887,genome,gwas
1615,genome,gwas
1616,genome,gwas
