gene_ncbi,set
1549,genome
1551,genome
1553,genome
132625,genome
1555,genome
1557,genome
1558,genome
1559,genome
1562,genome
1565,genome
1571,genome
1572,genome
1573,genome
1576,genome
1577,genome
1579,genome
1580,genome
1581,genome
1582,genome
1583,genome
1584,genome
1585,genome
1586,genome
1588,genome
1589,genome
132660,genome
1591,genome
1592,genome
1593,genome
1594,genome
1595,genome
255308,genome
132671,genome
1600,genome
1601,genome
1602,genome
1603,genome
1604,genome
1605,genome
1606,genome
1607,genome
1608,genome
1609,genome
1610,genome
1611,genome
1612,genome
1613,genome
286887,genome
1615,genome
1616,genome
1617,genome
1618,genome
1620,genome
1621,genome
1622,genome
203259,genome
1627,genome
1628,genome
1629,genome
1630,genome
1632,genome
1633,genome
1634,genome
1635,genome
1636,genome
100271715,genome
1638,genome
1639,genome
100861540,genome
1641,genome
1642,genome
1643,genome
1644,genome
1645,genome
1646,genome
1647,genome
132720,genome
1649,genome
1650,genome
645104,genome
132724,genome
1653,genome
1654,genome
1655,genome
1656,genome
1657,genome
1659,genome
1660,genome
1662,genome
1663,genome
1665,genome
1666,genome
1667,genome
1668,genome
1669,genome
1670,genome
1671,genome
1672,genome
1673,genome
1674,genome
1675,genome
1676,genome
1677,genome
1678,genome
111216276,genome
111216277,genome
1687,genome
1690,genome
165530,genome
165545,genome
1716,genome
1717,genome
1718,genome
1719,genome
132789,genome
1723,genome
1725,genome
1727,genome
1728,genome
1729,genome
1730,genome
1731,genome
100533952,genome
1733,genome
1734,genome
1735,genome
1736,genome
1737,genome
1738,genome
1739,genome
1740,genome
1741,genome
1742,genome
1743,genome
1745,genome
1746,genome
1747,genome
1748,genome
1749,genome
1750,genome
1755,genome
1756,genome
1757,genome
1758,genome
1759,genome
1760,genome
1761,genome
1762,genome
1763,genome
100271846,genome
1767,genome
1768,genome
1769,genome
1770,genome
1773,genome
1774,genome
1775,genome
1776,genome
1777,genome
1778,genome
132851,genome
1780,genome
1781,genome
1783,genome
1785,genome
1786,genome
1787,genome
1788,genome
1789,genome
1791,genome
132864,genome
1793,genome
1794,genome
1795,genome
1796,genome
1797,genome
1798,genome
165631,genome
1800,genome
1801,genome
1802,genome
1803,genome
1804,genome
1805,genome
1806,genome
1807,genome
1808,genome
1809,genome
1810,genome
1811,genome
1812,genome
1813,genome
1814,genome
1815,genome
1816,genome
132884,genome
1819,genome
1820,genome
1821,genome
1822,genome
1823,genome
1824,genome
1825,genome
1826,genome
1827,genome
1828,genome
1829,genome
1830,genome
1831,genome
1832,genome
1833,genome
1834,genome
150160,genome
1836,genome
1837,genome
1838,genome
1839,genome
1840,genome
1841,genome
1842,genome
1843,genome
1844,genome
1845,genome
1846,genome
1847,genome
1848,genome
1849,genome
1850,genome
201965,genome
1852,genome
100271927,genome
1854,genome
1855,genome
1856,genome
1857,genome
1859,genome
1861,genome
1869,genome
1870,genome
1871,genome
221504,genome
729627,genome
1874,genome
1875,genome
1876,genome
1877,genome
132946,genome
1879,genome
1880,genome
132949,genome
132954,genome
165721,genome
1889,genome
1890,genome
1891,genome
1892,genome
1893,genome
1894,genome
1896,genome
1901,genome
1902,genome
1903,genome
1906,genome
1907,genome
1908,genome
1909,genome
1910,genome
1911,genome
1912,genome
1915,genome
1917,genome
645027,genome
1933,genome
1936,genome
1937,genome
1938,genome
1939,genome
284996,genome
1942,genome
1943,genome
1944,genome
1945,genome
1946,genome
1947,genome
1948,genome
1949,genome
1950,genome
1951,genome
1952,genome
1953,genome
1954,genome
1955,genome
1956,genome
133022,genome
1958,genome
1959,genome
1960,genome
1961,genome
1962,genome
1964,genome
1965,genome
1967,genome
1968,genome
1969,genome
1973,genome
1974,genome
1975,genome
1977,genome
1978,genome
1979,genome
1981,genome
1982,genome
1983,genome
1984,genome
133060,genome
165829,genome
1990,genome
1991,genome
1992,genome
1993,genome
1994,genome
1995,genome
1996,genome
1997,genome
1998,genome
1999,genome
2000,genome
2001,genome
2002,genome
2004,genome
2005,genome
2006,genome
2009,genome
2010,genome
2011,genome
2012,genome
2013,genome
2014,genome
2015,genome
2016,genome
2017,genome
2018,genome
2019,genome
2020,genome
2021,genome
2022,genome
2023,genome
2026,genome
2027,genome
2028,genome
2029,genome
2030,genome
91584,genome
404203,genome
2033,genome
2034,genome
2035,genome
2036,genome
2037,genome
2038,genome
2039,genome
2040,genome
2041,genome
2042,genome
2043,genome
2044,genome
2045,genome
2046,genome
2047,genome
2048,genome
2049,genome
2050,genome
2051,genome
2052,genome
2053,genome
2054,genome
2055,genome
2056,genome
2057,genome
2058,genome
2059,genome
2060,genome
2063,genome
2064,genome
2065,genome
2066,genome
2067,genome
2068,genome
2069,genome
2070,genome
2071,genome
2072,genome
2073,genome
2074,genome
100272147,genome
2077,genome
2078,genome
2079,genome
165918,genome
2081,genome
2086,genome
100129654,genome
2091,genome
2098,genome
2099,genome
2100,genome
2101,genome
2103,genome
2104,genome
2107,genome
2108,genome
2109,genome
2110,genome
259287,genome
2113,genome
2114,genome
2115,genome
2116,genome
2117,genome
2118,genome
2119,genome
2120,genome
2121,genome
2122,genome
2123,genome
2124,genome
2125,genome
2128,genome
2130,genome
2131,genome
2132,genome
2134,genome
2135,genome
254427,genome
2137,genome
2138,genome
2139,genome
2140,genome
254428,genome
389541,genome
2145,genome
2146,genome
2147,genome
150223,genome
2149,genome
2150,genome
2151,genome
2152,genome
2153,genome
2155,genome
2157,genome
2158,genome
2159,genome
2160,genome
2161,genome
2162,genome
2165,genome
2166,genome
2167,genome
2168,genome
2169,genome
2170,genome
2171,genome
2172,genome
2173,genome
166012,genome
2175,genome
2177,genome
2178,genome
2180,genome
2181,genome
2182,genome
202333,genome
2184,genome
2185,genome
2186,genome
2187,genome
2188,genome
2189,genome
2191,genome
2192,genome
2193,genome
2194,genome
2195,genome
2196,genome
2197,genome
2199,genome
2200,genome
2201,genome
2202,genome
2203,genome
2204,genome
2205,genome
2206,genome
2207,genome
2208,genome
2209,genome
2212,genome
2213,genome
2214,genome
2215,genome
195827,genome
2217,genome
2218,genome
2219,genome
2220,genome
195828,genome
2222,genome
2224,genome
2230,genome
2232,genome
493753,genome
2235,genome
133308,genome
2237,genome
2239,genome
2241,genome
2242,genome
2243,genome
2244,genome
2245,genome
2246,genome
2247,genome
2248,genome
2249,genome
2250,genome
2251,genome
2252,genome
2253,genome
2254,genome
2255,genome
2256,genome
2257,genome
2258,genome
2259,genome
2260,genome
2261,genome
2262,genome
2263,genome
2264,genome
346562,genome
2266,genome
2267,genome
2268,genome
2271,genome
2272,genome
2273,genome
2274,genome
2275,genome
2277,genome
2280,genome
2281,genome
2286,genome
2287,genome
2288,genome
2289,genome
2290,genome
2294,genome
2295,genome
2296,genome
2297,genome
2298,genome
2299,genome
2300,genome
2301,genome
2302,genome
2303,genome
2304,genome
2305,genome
2306,genome
2307,genome
2308,genome
2309,genome
2310,genome
133383,genome
2312,genome
2313,genome
2314,genome
2315,genome
2316,genome
2317,genome
2318,genome
2319,genome
2321,genome
2322,genome
2323,genome
2324,genome
133396,genome
2326,genome
2327,genome
2328,genome
2329,genome
2330,genome
2331,genome
2332,genome
644844,genome
2334,genome
2335,genome
