gene_ncbi,pubmed_id,mentioned,mentioned_citations,hit
9702,27869803,False,False,True
1522,27869803,False,False,True
83443,27869803,False,False,True
9716,27869803,False,False,True
83444,27869803,False,False,True
1523,27869803,False,False,True
1528,27869803,False,False,True
9721,27869803,False,False,True
91647,27869803,False,False,True
1537,27869803,False,False,True
9730,27869803,False,False,True
116225,27869803,False,False,True
83460,27869803,False,False,True
9733,27869803,False,False,True
83461,27869803,False,False,True
9735,27869803,False,False,True
9736,27869803,False,False,True
26121,27869803,False,False,True
9739,27869803,False,False,True
116236,27869803,False,False,True
1549,27869803,False,False,True
116238,27869803,False,False,True
91662,27869803,False,False,True
91663,27869803,False,False,True
83475,27869803,False,False,True
1558,27869803,False,False,True
140823,27869803,False,False,True
83479,27869803,False,False,True
83482,27869803,False,False,True
9755,27869803,False,False,True
83483,27869803,False,False,True
9761,27869803,False,False,True
26145,27869803,False,False,True
140836,27869803,False,False,True
124454,27869803,False,False,True
91687,27869803,False,False,True
91689,27869803,False,False,True
26155,27869803,False,False,True
26156,27869803,False,False,True
9775,27869803,False,False,True
1583,27869803,False,False,True
132660,27869803,False,False,True
9780,27869803,False,False,True
9785,27869803,False,False,True
26173,27869803,False,False,True
9790,27869803,False,False,True
9791,27869803,False,False,True
9793,27869803,False,False,True
1603,27869803,False,False,True
1605,27869803,False,False,True
9801,27869803,False,False,True
1615,27869803,False,False,True
1616,27869803,False,False,True
9810,27869803,False,False,True
83540,27869803,False,False,True
9816,27869803,False,False,True
9817,27869803,False,False,True
140890,27869803,False,False,True
83547,27869803,False,False,True
9818,27869803,False,False,True
26205,27869803,False,False,True
91746,27869803,False,False,True
9827,27869803,False,False,True
91748,27869803,False,False,True
140901,27869803,False,False,True
91750,27869803,False,False,True
1639,27869803,False,False,True
1642,27869803,False,False,True
9837,27869803,False,False,True
50801,27869803,False,False,True
1650,27869803,False,False,True
1653,27869803,False,False,True
1654,27869803,False,False,True
1655,27869803,False,False,True
91768,27869803,False,False,True
1656,27869803,False,False,True
26233,27869803,False,False,True
1659,27869803,False,False,True
1660,27869803,False,False,True
124535,27869803,False,False,True
50814,27869803,False,False,True
1662,27869803,False,False,True
1665,27869803,False,False,True
9861,27869803,False,False,True
9868,27869803,False,False,True
83597,27869803,False,False,True
9869,27869803,False,False,True
26256,27869803,False,False,True
222865,27869803,False,False,True
9874,27869803,False,False,True
9875,27869803,False,False,True
9879,27869803,False,False,True
83608,27869803,False,False,True
91801,27869803,False,False,True
9887,27869803,False,False,True
26271,27869803,False,False,True
26276,27869803,False,False,True
26277,27869803,False,False,True
9894,27869803,False,False,True
9896,27869803,False,False,True
9897,27869803,False,False,True
9898,27869803,False,False,True
26284,27869803,False,False,True
124590,27869803,False,False,True
222894,27869803,False,False,True
9904,27869803,False,False,True
